用户,内容,点赞数,发布时间
KnowYourself,"直到有一天，女人能在她的力量中去爱，而不是在虚弱中去爱，不是用爱去逃避，而是用爱去找到自己，不是在爱中放弃自我，而是在爱中确认自我——直到那一天，无论是对于她，还是对于那个男人来说，爱才不会是一种致命的危险，而是成为生命之源。
——西蒙娜·德·波伏娃",609,2018-11-15
KnowYourself,两个灵魂的相遇从来不是一场简单的意外。（图自weheartit）,329,2018-11-11
KnowYourself,令我悲伤的是那些曾给我美好回忆的人，最终都成为了回忆。,323,2018-11-12
KnowYourself,“我在最好的时候碰到你是我的运气，可惜我没时间了。想想说人生无悔，都是赌气的话，人生若无悔，那该多无趣啊。说句真心话，我心里有过你，喜欢人不犯法，可我也只能到喜欢为止了。”（电影《一代宗师》）,317,2018-11-11
KnowYourself,"“亲爱的，我早上想你，中午想你，晚上也想你。我8:15想你，11:45想你，晚上9:36还是想你。”（动画《史努比》）
今天来晚啦，给你们一句甜甜的话，晚上再给你们另一句[给你小心心]",313,2018-11-22
KnowYourself,"“糟糕，我比我计划中还要喜欢你。”
（图自Tumblr）",310,2018-11-23
KnowYourself,不要由于别人无法成为我们所希望的人而愤怒，因为我们自己也难以成为自己所希望的人。——托马斯·曼,298,2018-11-16
KnowYourself,“以前也一直都想要谈恋爱，也主动去谈过恋爱。那时我明白了，恋爱不是想谈才谈的，而是自然而然发生的。”（日剧《最完美的离婚》）,266,2018-11-23
KnowYourself,和我，在星辰坠落后的黯淡中相遇吧，我们会是这温柔之夜的唯一光亮。（图自wehearit）,256,2018-11-19
KnowYourself,"人生是悲苦的：因为我们从出生起，就战斗着一场注定会输的战斗——我们试图成为自身的主宰，但始终有隐藏在事件之后的偶然的必然性与我们作对。
我们终其一生，唯一能够做的一件事，可能就是塑造出一个对宇宙而言转瞬即逝的自我。
而这竟是我最渴望投身于的一件事。
晚安。",250,2018-11-20
KnowYourself,“我都不明白，你自己都这么讨厌自己，怎么还能期待别人去爱你呢？”（美剧《马男波杰克》）,246,2018-11-18
KnowYourself,我希望你们可以尽己所能，想方设法给自己挣到足够的钱，好去旅游，去无所事事，去思索世界的未来或过去，去看书、做梦或是在街头闲逛，让思考的鱼线深深沉入这条溪流中去。——弗吉尼亚·伍尔夫,244,2018-11-23
KnowYourself,我曾经以为日子是过不完的，未来是完全不一样的。现在，我就呆在我自己的未来，我没有发现自己有什么真正的变化，我的梦想还像小时候一样遥远，唯一不同的是我已经不打算实现它了。——王朔,243,2018-11-12
KnowYourself,我希望今天结束，可又不希望明天开始。#晚安#,235,2018-11-17
KnowYourself,悲观主义不是情绪，是你对世界的基本态度和认知，我不是一个死气沉沉、郁郁寡欢的人，我是一个乐呵呵的悲观主义者。——廖一梅 《像我这样笨拙地生活》,225,2018-11-19
KnowYourself,"“我从前就很想知道，你那个大包包到底装了什么东西？”
“爱和希望。”
（日剧，《东京爱情故事》）",225,2018-11-17
KnowYourself,你有没有因为一些无厘头的小事爱上过一个人？来讲讲吧。,214,2018-11-15
KnowYourself,只要回顾当时那个过分憨厚的自己， 恨不得自己生得坏一点而悔不当初。可是，也有一丝冲动，希望能够重新回到那个最初的自己，那般憨直地活着。——夏目漱石， 《心》,209,2018-11-18
KnowYourself,"也许他一直期待着有个人能够撞上他，这样他就有理由丢下他牢牢捧着的东西。——西蒙·范·布伊《爱，始于冬季》
#晚安#",207,2018-11-14
KnowYourself,“社会期望每一个人只有一个人格，人有着始终如一的人格，就会被认作是诚实的人。所以人们都扮演着一个表面上的自己，把偏离正轨的部分给隐藏起来。”（日剧《人生删除事务所》）,202,2018-11-14
KnowYourself,一个人如果拒绝第一次的赞美，是因为他想再听一次。——弗朗索瓦·德·拉罗什富科,199,2018-11-22
KnowYourself,在你离开之前，用力地吻我吧。（图自weheartit）,199,2018-11-18
KnowYourself,"挨了骂，
哇地一声就哭出来的儿童的心情；
我也想要有那种心情。
——石川啄木《事物的味道，我尝得太早了》
#晚安#",197,2018-11-13
KnowYourself,不管这是高度的智慧还是最简单的天真幼稚，谁能尽情享受瞬间的快乐，谁总是生活在现在，不瞻前顾后，谁懂得这样亲切谨慎地评价路边的每一朵小花，评价每个小小的嬉戏的瞬间价值，那么生活就不能损害他一丝一毫。——赫尔曼·黑塞《荒原狼》,193,2018-11-14
KnowYourself,"“巧克力饼干是红色的，巧克力饼干是蓝色的，巧克力饼干是甜甜的。你也是甜甜的。”
（动画《史努比》）
你们都是甜甜的小饼干🍪晚安啦Zzz",184,2018-11-22
KnowYourself,“人生没有重来，贪婪有何不可？”（日剧《对不起，青春》）,177,2018-11-20
KnowYourself,"“要处处为我着想啊，让我知道我是被这个人爱着的。因为我超级想撒娇啊。”
（日剧《最完美的离婚》）",173,2018-11-16
KnowYourself,"一个人的发展，受到三个方面的影响，ta的个体化的特性（比如先天的智力、人格性格等），ta的环境，以及ta过去经验的累积。
我们称之为命运的东西，可能就是这个过程中的随机因素。比如，先天的个体差异，不受主体选择的家庭和成长环境，以及生命中重要而随机发生过的事件。
所以我们每个人都大体会有自己优势和劣势的方面，这种趋势可能也是被人们称呼为命运的东西（的一部分）。
甚至，如果我们的选择能力，本就部分取决于先决的自身和先决的初始环境，我们的选择也就成为了命运本身。
从这个角度来说，命运是存在的。
就像蝴蝶效应一样，我们生命中蝴蝶的第一次振翅，可能是别无选择降临在我们身上的命运。无论我们多么想要否认和拒绝，费尽心机试图逃脱，但无论是哪个版本的故事，都从蝴蝶的那一次振翅开始。
那自由是什么呢？
随着个体年龄的增长，人们的选择空间既会变小、也会变大。我们都曾经站在命运的分岔路口，后面的道路风起云涌，我们的一个选择，影响我们在后面的人生中付出了不同的代价。尽管无论如何，代价都必须付出。",173,2018-11-14
KnowYourself,“能再见到你真好”这句话你最想对谁说呢？,163,2018-11-10
KnowYourself,#晚安# 虽然经历了岁月的洗礼，但真挚的感悟没有磨灭。生命是短暂的，而爱情是永恒的。有一个可以思念的人，就是幸福。——岩井俊二，《情书》,161,2018-11-18
KnowYourself,"“相信”应被当作一种能力来衡量。不是所有人都具有信的能力。有时人们以为自己相信，但只是一时的激越心境而已，事实上充满了跌宕。真的相信，是一种颇难被语言描述出来的能力；是以顽强的心智，去穿越一段漫无止境的冒险之旅。
相信的人，从Ta的信中就能获取源源不断的所得。获得力量，勇气，获得爱。比起“我爱你”，“我相信你”甚至是更难达成、也因此更为珍贵的关系。
有时候，我们和某个人走了一段很远的路，可能并不是，或者并不只是因为我们爱Ta，而是因为我们相信Ta。甚至，信和那个被相信的对象也不甚有关，信是一件你自己的事情。
当然，相信是一场豪赌，只要你愿赌服输。",159,2018-11-22
KnowYourself,“如果有重要的人，并且活在你身边，就不能轻易放手。”（日剧《万福》）,153,2018-11-15
KnowYourself,“你无聊又孤独，我也无聊又孤独，一个房间里有太多的无聊和孤独，或许他们能相互抵消，就像电荷一样。我们可以做个实验，在一定条件下，看能否消除无聊，或者得到更多的孤独。”（英剧《梅尔罗斯》）,148,2018-11-21
KnowYourself,“我通过排斥跟自己不同的东西守护着自身，但最近我也在思考，一直以来，我究竟守护的是什么呢？我现在十分后悔把自己封闭在狭隘的世界，像个井底之蛙一样地活着。”（日剧《总觉得邻家更幸福》）,147,2018-11-12
KnowYourself,"差别应该还是存在的吧  不然／为什么总有人能从真相边缘飞掠而过毫发无伤／却也总有人  从此沉沦/可惜的是  我们从来无法预先测试／你的和我的灵魂的品质／只好任由事件发生再逐步开展／只好在多年之后 任由／那些不相干的旁观者前来匆匆翻阅／或者惊叹或者扼腕： 
——看哪／谁到最后终于全身而退 ／而谁  谁又在一开始的时候就是／美且易碎 
——席慕容《试炼》
#晚安#",144,2018-11-15
KnowYourself,黑夜无论怎样悠长，白昼总会到来的。——莎士比亚，《麦克白》,128,2018-11-17
KnowYourself,"今晚想和大家一起做一个基于想象的叙事练习：想象二十年后你理想中的一天的生活是什么样子？你的生活是已经充满了规律吗？还是你的生活中仍有很多不规律、新鲜又有挑战的事情？你结婚了吗？你定居在哪里？你有孩子吗？你的经济条件是什么样子，你日常生活中使用哪些物品和服务？你有很多新认识的朋友、还是只和一小圈子人一直保持着深厚的友谊？……
你对于这一天生活的想象越深入、越细节，越能帮你了解，你究竟渴望什么样的生活，你在生活各个方面的价值取向和偏好是什么样的。而这种了解，反过来又能帮你重新做出今天眼下的种种选择。
在我们寻找自己的路上，或许是没有终点的。所以，你不必因为自己错过了青春期，又或者错过了某个他人定义的“最好的年纪”而感到惶恐，也不必为了快一点抵达而焦虑不安。因为“人生很长，你不用急，也不用慌”。
“Take your time and be patient. Life itself will eventually answer all those questions it once raised for you.”",125,2018-11-17
KnowYourself,原来，谩骂风流鬼的人，大多没有风流的资格；自命风流的人，也大多没有资格风流。——夏目漱石，《我是猫》,123,2018-11-11
KnowYourself,星星和海洋有治愈人心的力量，美好的星空和大海值得人反复落泪。你见过最美的星空/大海是什么样的？来评论一张图和大家分享吧。,114,2018-11-18
