creationTime,user,referenceName,content
2018-11-22 14:53:07,浮***末,美的（Midea） 60升 速热增容LED触控大屏 电热水器 F6030-A6(HEY),"美的三佰优橞卷：质量好（  djd.red/2m ）复/.置/输入括呺/内@内蓉，/到.，流览嚣打开#领/曲。非常好外观漂亮，做工精致，可以远程控制，非常方便，保温性能满意，希望耐用。美的的安装服务不错，加装的管和接头收费*元，不贵。使用过程中经常有哒哒响，应该是继电器的声音吧。外观大气上档次,颜色玫瑰金色,非常好看,很高大上档次,液晶屏数字很大,方便观察,按钮简洁大方。功率够用容量够用,单位安装,多人洗热水丝毫不耽误,用水自动断电,能听见空开断电的声音,让人很踏实。总体来说挺满意。这款美的热水器真的很棒！液晶屏配上金色的装饰显得高档。可以整胆或者半胆加热，加上85%的热水输出率，让一级能效的它，更加节能！还有APP智能遥控软件，功能一目了然，调温.加热一按就搞定，非常方便操作。外观精美，显示屏幕大，烧水速度挺快的，使用起来放心安全！省电，安全，还可以实时预约功能，只需设置洗浴时间，就能使用热水。出水断电很安全，科技感也很足，可以手机APP操作！美的产品质量好，外观漂亮，大小合适，免费安装，感觉自己赚了！！有快递公司，服务态度超棒，约好时间后，售后马上来安装了！满分！"
2018-11-18 18:26:45,j***f,美的（Midea）13升水气双调燃气热水器 智能精控恒温 三档变升健康浴 升级款天然气JSQ25-G2,双11购买的美的热水器，刚刚安装完毕，试机用一下，应该还好，装修还未完成，以后使用效果等待进住再追加评价。今天是下雨天，安装师傅风雨无阻来我家施工，辛苦师付了。
2018-10-28 15:53:45,jd_240974403,美的（Midea）13升水气双调燃气热水器 智能精控恒温 三档变升健康浴 升级款天然气JSQ25-G2,噪音小，热得快，安装快服务好，对比其他平台，京东的服务真是最好的 ，没有之一。
2018-11-14 09:50:47,j***1,美的（Midea）13升水气双调燃气热水器 智能精控恒温 三档变升健康浴 升级款天然气JSQ25-G2,东西不错，安装师傅也很好，试机效果也很好！
2018-10-25 17:20:03,j***安,美的（Midea）13升水气双调燃气热水器 智能精控恒温 三档变升健康浴 升级款天然气JSQ25-G2,快递小哥很不错 机器明天安装  好评
2018-05-28 19:24:02,闪***泡,美的（Midea）13升水气双调燃气热水器 智能精控恒温 三档变升健康浴 升级款天然气JSQ25-G2,安装跟进快，没有任何乱收费行为，服务态度超好，产品外观漂亮，安装的时候刚好有同小区的朋友来串门了，问我在哪儿买的，说了京东，马上要去连接，外观漂亮，安装师傅没有任何乱收费行为，打卡80，管子用了242，一共就这么多，等到天然气接通时师傅会再次****安装角阀，费用也很明确的告知70，感觉很不错的一次购物，这也是我在京东上购买的第一件东西，就一下子买到这么物超所值的产品，连安装师傅都说了值，赞赞赞，强力?推荐购买哦?
2018-11-20 20:41:37,s***f,美的（Midea）13升水气双调燃气热水器 智能精控恒温 三档变升健康浴 升级款天然气JSQ25-G2,热水器收到了，颜色还不错，唯一不足的一点11号买，16号才配送，由于房子刚装修，还没有通气，没法试用，等通气后再来评价，安装师傅很负责，没有乱收费。
2018-11-20 18:25:48,梁***缘,美的（Midea）13升水气双调燃气热水器 智能精控恒温 三档变升健康浴 升级款天然气JSQ25-G2,"1、送货速度非常快，11号晚上下单13号就送到了。
2、送货服务非常好，直接送货上门。
3、家里三室两卫，本来买14升就够，直接买了16升。
4、该款是触摸显示屏，非常好用！
5、该款可以一键厨房洗，非常方便！
6、8年保修，还送VIP延保卡，有很多优点，大品牌值得信赖！
7、美的安装师傅也很准时，安装服务非常好，穿了工作服佩戴了工作证。不但把旧的拆除了安装了新的，发现旧的燃气阀一直在漏气后，还帮我们换了全新的热水管（出水管）、进水管、燃气管，安装完还把清洁做了，走的时候还把安装垃圾带走了，整体服务非常棒！非常专业！
8、目前热水器使用起来效果很好，出热水很快，冷热调节也很智能，期待更好的使用体验效果！"
2018-11-22 11:34:02,淼***n,美的（Midea）13升水气双调燃气热水器 智能精控恒温 三档变升健康浴 升级款天然气JSQ25-G2,安装师傅专业，服务态度好。已试用，电脑调温，装修师傅说16升*划算，家中电器均用美的，价格还是有优势。
2018-11-21 23:17:18,g***1,美的（Midea）13升水气双调燃气热水器 智能精控恒温 三档变升健康浴 升级款天然气JSQ25-G2,送货很快，比预计的提前一两天就到了，并及时安排了师傅帮忙安装，当天师傅提前联系沟通安装具体时间。师傅安装的很仔细，手法熟练，做工精细，收费明确，并及时提醒售后服务怎么联系，很敬业。
2018-11-05 09:41:36,j***d,美的（Midea） 60升 速热增容LED触控大屏 电热水器 F6030-A6(HEY),选择美的（Midea）60升电热水器 5倍增容90S速热 A+能效 遥控预约 LED触控大屏 F6030-A6(HEY)。首先机器外型高端大气上档次，可以远程遥控，触屏效果很好，操作简便，加热速度快，保温效果不错，该机型有e+增容，变容，预约，水温显示，防电墙，加热倒计时显示，热水剩余量显示等各种实用功能，真心方便，都很喜欢。
2018-11-26 09:17:40,y***6,美的（Midea） 60升 速热增容LED触控大屏 电热水器 F6030-A6(HEY),选择美的（Midea）双2100W速热 无线遥控 一级能效多倍增容 防电墙电热水器60升 F6021-A2（HEY）。首先机器外型高端大气上档次，可以远程遥控，触屏效果很好，操作简便，加热速度快，保温效果不错，该机型有e+增容，变容，预约，水温显示，防电墙，加热倒计时显示，热水剩余量显示等各种实用功能，真心方便，都很喜欢。
2018-08-25 16:01:09,男***8,美的（Midea） 60升 速热增容LED触控大屏 电热水器 F6030-A6(HEY),"线条流畅、时尚、全自动控制、防电墙产品；
加厚聚氨酯整体发泡保温层，保温节能效果更好;保温；
采用防干烧、防超温、防漏电、防高水压等多重保护装置以及IP&times;4级防水设计，使用寿命长，节能省电；
超长低热负荷发热管，寿命更长、防电墙设计，线条流畅
安装师傅很负责，调试好了。"
2018-11-23 13:58:09,j***m,美的（Midea） 60升 速热增容LED触控大屏 电热水器 F6030-A6(HEY),比较熟悉美的的品牌，因为身边用美的的挺多。又特意买的美的（Midea）80升速热增容LED大屏幕数显的F8030-A6（HEY）款。可以远程遥控，触屏效果很好，操作简便，加热速度快，保温效果不错，该机型有A+能效，输出热水更多，变容，预约，水温显示，防电墙，加热倒计时显示，热水剩余量显示等各种实用功能，真心方便。快递也很给力的，头一天下单，第二天完美送到，非常感谢啦！！！！！安装师傅很用心的给安装好了。机器外型高端大气上档次。漂亮！感谢安装师傅！辛苦辛苦！！！！！
2018-10-26 10:49:09,张***3,美的（Midea） 60升 速热增容LED触控大屏 电热水器 F6030-A6(HEY),跟家人看了很多款热水器，最终选择美的（ Midea）80升电 热水器5倍增容A＋能效遥控预约. F8030－A6（HEY），首先机器外型高端大气上档次，可以遥控，触屏效果很好，操作简便，加热速度快，保温效果不错，该机型有e＋增容，变容，预约，水温显示，防电墙，加热倒计时显示，热水剩余量显示等各种实用功能，真心方便，我们家人都很喜欢
2018-11-06 08:13:23,j***0,美的（Midea） 60升 速热增容LED触控大屏 电热水器 F6030-A6(HEY),热的快，有遥控方便，还可以预约时间，触摸屏很灵敏，安装师傅很专业，京东送货****，我家的家电都在京东买的，服务好，质量有保证！
2018-11-26 12:43:28,j***千,美的（Midea） 60升 速热增容LED触控大屏 电热水器 F6030-A6(HEY),A10非常的好看容量也大，外表高端大气，可以远程控制，屏幕很大，操作简单方便，加热速度也快，保温效果非常好！有TECH活水功能！东西到货完整，样子看起来也挺不错，个头挺大，质感也不错，师傅很敬业，穿统一工装，干活也很麻利，很快就装完了，还很耐心的给讲解操作，有任何疑问也很耐心的回答，很满意！
2018-07-09 20:52:48,j***j,美的（Midea） 60升 速热增容LED触控大屏 电热水器 F6030-A6(HEY),事情太多，评价有点晚了。当时看了很多款热水器，最终选择美的（Midea）60升电热水器 5倍增容90S速热 A+能效 遥控预约 LED触控大屏 F6030-A6(HEY)。首先机器外型高端大气上档次，可以远程遥控，触屏效果很好，操作简便，加热速度快，保温效果不错，该机型有e+增容，变容，预约，水温显示，防电墙，加热倒计时显示，热水剩余量显示等各种实用功能，真心方便，我们家人都很喜欢
2018-10-30 09:42:39,D***1,美的（Midea） 60升 速热增容LED触控大屏 电热水器 F6030-A6(HEY),终于抽出时间评价了，看了好多热水器，最终选择了这款美的（Midea）60升电热水器 5倍增容90S速热 A+能效 遥控预约 LED触控大屏 F6030-A6(HEY)。美的的服务真的没得说，师傅安装非常专业。首先机器外型高端大气上档次，可以远程遥控，触屏效果很好，操作简便，加热速度快，保温效果不错，该机型有e+增容，变容，预约，水温显示，防电墙，加热倒计时显示，热水剩余量显示等各种实用功能，最主要的是，有TECH活水功能！！！真心方便，很满意的一次购物。
2018-11-18 12:11:55,孤***子,美的（Midea）13升水气双调燃气热水器 智能精控恒温 三档变升健康浴 升级款天然气JSQ25-G2,已经收到，还没用，使用后上大图，相信京东，相信美的品质
2018-11-22 12:02:29,w***3,美的（Midea）60升电热水器云智能出水断电五倍增容微联APP F6030-A7S(HE),"安装完成，开机加热速度很快，热水量足可以连续洗澡，外观漂亮，做工精致，防电墙，可以远程控制，非常方便，保温性能也满意。美的的安装服务很好。外观大气上档次,颜色玫瑰金色,非常好看,很高大上档次,液晶屏数字很大,方便观察,按钮简洁大方。功率够用容量够用,单位安装,多人洗热水丝毫不耽误,用水自动断电,能听见空开断电的声音,让人很踏实。总体来说挺满意。这款美的热水器真的很棒！液晶屏配上金色的装饰显得高档。可以整胆或者半胆加热，加上85%的热水输出率，让一级能效的它，更加节能！还有APP智能遥控软件，功能一目了然，调温.加热一按就搞定，非常方便操作。外观精美，显示屏幕大，烧水速度挺快的，使用起来放心安全！省电，安全，还可以实时预约功能，只需设置洗浴时间，就能使用热水。出水断电很安全，可以手机APP操作！美的产品质量好，外观漂亮，大小合适，免费安装，感觉很好！！京东快递，服务态度很好，约好时间后，售后马上来安装了！满分！"
2018-10-24 23:14:32,j***o,美的（Midea）60升电热水器云智能出水断电五倍增容微联APP F6030-A7S(HE),外观大方，精美，干净，屏幕手感很好，显示屏幕大，省电，安全，可以手机APP操作，很灵敏，出水断电，连用水龙头它都会自动断电，，很方便很智能，用着真的好好
2018-10-26 14:26:53,J***g,美的（Midea）60升电热水器云智能出水断电五倍增容微联APP F6030-A7S(HE),"加厚聚氨酯整体发泡保温层，保温节能效果更好;保温；采用防干烧、防超温、防漏电、防高水压等多重保护装置以及IP&times;4级防水设计，使用寿命长，节能省电；超长低热负荷发热管，寿命更长、防电墙设计，线条流畅安装师傅很负责，调试好了。

看了很多款热水器，最终选择美的（Midea）60升电热水器 5倍增容90S速热 A+能效 遥控预约 LED触控大屏 F6030-A6(HEY)。首先机器外型高端大气上档次，可以远程遥控，触屏效果很好，操作简便，加热速度快，保温效果不错，该机型有e+增容，变容，预约，水温显示，防电墙，加热倒计时显示，热水剩余量显示等各种实用功能，真心方便，我们家人都很喜欢。"
